question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label
What month were you born in if your birthstone is sardonyx ?,,,born,VBN,bear,what,month,"['what', 'month']",WDT,NN,birthstone,NN,,DATE
Who is behind the name of the Harvey Wallbanger drink ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,Who,WP,,PERSON
"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",,,has,VBZ,have,what,soft,"['what', 'soft']",WDT,JJ,drink,NN,,PRODUCT
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,,,call,NN,call,what,oldtime,"['what', 'oldtime']",WDT,JJ,fare Greenfield,NNP,PERSON,WORK_OF_ART
Madonna advertises for what soft drink ?,,,advertises,VBZ,advertise,what,soft,"['what', 'soft']",WP,JJ,Madonna,NNP,PERSON,PRODUCT
How much money can a person be fined for having a dog on a beach ?,,,fined,VBN,fine,how,much,"['how', 'much']",WRB,JJ,,,,MONEY
"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?",,,borders,VBZ,border,what,desert,"['what', 'desert']",WP,NN,country,NN,,GPE
What are the ages in comic book lingo ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,ages,NNS,,EVENT
What South African producer had a 1988 profit of $836 million ?,,,had,VBD,have,what,south,"['what', 'south']",WP,JJ,producer,NN,,ORG
What American actress was the first to be called a `` vamp '' ?,,,was,VBD,be,what,american,"['what', 'american']",WP,JJ,actress,NN,,PERSON
"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",,,portrays,VBZ,portray,what,John,"['what', 'John']",WP,NNP,novel,NN,,WORK_OF_ART
What date did man first land on the moon ?,,,man,NN,man,what,date,"['what', 'date']",WP,NN,,,,DATE
Where are the headquarters of Eli Lilly ?,,,are,VBP,be,where,be,"['where', 'be']",WRB,VBP,headquarters,NN,,LOC
How many web servers are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,servers,NNS,,CARDINAL
How many trees go into paper making in a year ?,,,go,VBP,go,how,many,"['how', 'many']",WRB,JJ,trees,NNS,,CARDINAL
Where can I find info on research being done on oilseeds thru genetics ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
How far out is the universe ?,,,is,VBZ,be,how,far,"['how', 'far']",WRB,RB,universe,NN,,QUANTITY
Where did the Mayan Indians live ?,,,live,VBP,live,where,do,"['where', 'do']",WRB,VBD,Indians,NNPS,NORP,LOC
Where was Poe born ?,,,born,VBN,bear,where,be,"['where', 'be']",WRB,VBD,,,,GPE
Name a product that controls the ripening of apples .,,,Name,VB,name,that,control,"['that', 'control']",WDT,VBZ,that,WDT,,PRODUCT
How many warmup pitches does a reliever get coming into a baseball game ?,,,coming,VBG,come,how,many,"['how', 'many']",WRB,JJ,pitches reliever,NN,,CARDINAL
Where did Dylan Thomas die ?,,,die,VB,die,where,do,"['where', 'do']",WRB,VBD,Thomas,NNP,PERSON,LOC
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,,,had,VBD,have,what,film,"['what', 'film']",WDT,NN,film Davis,NNP,PERSON,WORK_OF_ART
What card company sells Christmas ornaments ?,,,sells,VBZ,sell,what,card,"['what', 'card']",WP,NN,company,NN,,ORG
How many Fig Newtons are there to the pound ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,Newtons,NNPS,,CARDINAL
Who is the premier of China ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?,,,observed,VBD,observe,what,cigar,"['what', 'cigar']",WDT,NN,comedian You you,PRP,,PERSON
How many bones are there in the human hand ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,bones,NNS,,CARDINAL
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?,,,used,VBD,use,what,bread,"['what', 'bread']",WP,NN,company,NN,,ORG
Who was the president of Vichy France ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Whose kidnaping was termed The Crime of the Century ?,,,termed,VBN,term,whose,kidnaping,"['whose', 'kidnaping']",WP$,NN,,,,PERSON
What group asked the musical question Do You Believe in Magic ?,,,asked,VBD,ask,what,group,"['what', 'group']",WP,NN,group You,PRP,,ORG
What was the tallest building in America in 1922 ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,building,NN,,FAC
What buxom blonde appeared on the cover of more than 5 magazines ?,,,appeared,VBD,appear,what,buxom,"['what', 'buxom']",WP,NN,blonde,JJ,,PERSON
How far is it from Phoenix to Blythe ?,,,is,VBZ,be,how,far,"['how', 'far']",WRB,RB,it,PRP,,QUANTITY
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?,,,rises,VBZ,rise,what,New,"['what', 'New']",WP,NNP,hamlet,NN,,LOC
How many people watch network television ?,,,watch,VBP,watch,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
"What garment was named for Bradley , Voorhees and Day ?",,,named,VBN,name,what,garment,"['what', 'garment']",WDT,NN,,,,PRODUCT
Who first broke the sound barrier ?,,,broke,VBD,break,who,first,"['who', 'first']",WP,RB,Who,WP,,PERSON
How many horses are there on a polo team ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,horses,NNS,,CARDINAL
What new year is celebrated on February 16th ?,,,celebrated,VBN,celebrate,what,new,"['what', 'new']",WP,JJ,,,,EVENT
Where do the Grimace and Mayor McCheese live ?,,,live,VBP,live,where,do,"['where', 'do']",WRB,VBP,Grimace,NNP,ORG,LOC
How long does it take to hike the entire Appalachian Trail ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it,PRP,,TIME
What role do fruits play in the survival of plants ?,,,play,VB,play,what,role,"['what', 'role']",WDT,NN,fruits,NNS,,PERSON
Where is the world championship sled dog race held each February ?,,,held,VBD,hold,where,be,"['where', 'be']",WRB,VBZ,championship race,NN,,LOC
What 's the name of the Tampa newspaper ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,WORK_OF_ART
What is one of the languages of the Sioux ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,,,,LANGUAGE
What Pulitzer Prize-winning novelist ran for mayor of New York City ?,,,ran,VBD,run,what,Pulitzer,"['what', 'Pulitzer']",WP,NNP,novelist,NN,,PERSON
How many times can a nickel-cadmium rechargeable battery be recharged ?,,,recharged,VBN,recharge,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What was the food of the Greek gods called ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,food,NN,,PRODUCT
How many seats does the Batmobile sport ?,,,does,VBZ,do,how,many,"['how', 'many']",WRB,JJ,seats,NNS,,CARDINAL
How many cards are dealt to each player in Gin Rummy ?,,,dealt,VBN,deal,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What Erica Jong novel deals with Isadora Wing 's fear ?,,,deals,NNS,deal,what,Erica,"['what', 'Erica']",WP,NNP,,,,WORK_OF_ART
What time of year do most people fly ?,,,fly,VB,fly,what,time,"['what', 'time']",WDT,NN,people,NNS,,DATE
Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
When is the Thai New Year ?,,,is,VBZ,be,when,be,"['when', 'be']",WRB,VBZ,Year,NNP,EVENT,DATE
What 1964 film introduced the song My Kind of Town ?,,,introduced,VBD,introduce,what,1964,"['what', '1964']",WP,CD,film,NN,,WORK_OF_ART
Who recorded the 1957 hit Tammy ?,,,recorded,VBD,record,who,record,"['who', 'record']",WP,VBD,Who,WP,,PERSON
Who is Mia Farrow 's mother ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
How far can a human eye see ?,,,see,VB,see,how,far,"['how', 'far']",WRB,RB,eye,NN,,QUANTITY
What time of year has the most air travel ?,,,has,VBZ,have,what,time,"['what', 'time']",WDT,NN,time,NN,,DATE
When was the G7 group of nations formed ?,,,formed,VBN,form,when,be,"['when', 'be']",WRB,VBD,group,NN,,DATE
What baseball player was walked the most times ?,,,walked,VBN,walk,what,baseball,"['what', 'baseball']",WDT,NN,,,,PERSON
What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?,,,has,VBZ,have,what,famous,"['what', 'famous']",WP,JJ,vocalist,NN,,PERSON
What were the first frozen foods ?,,,were,VBD,be,what,be,"['what', 'be']",WP,VBD,foods,NNS,,PRODUCT
When did they canonize the Bible ?,,,canonize,VB,canonize,when,do,"['when', 'do']",WRB,VBD,they,PRP,,DATE
Who was the only president to serve two nonconsecutive terms ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What percentage of all world tornados touch down in the US ?,,,touch,VBP,touch,what,percentage,"['what', 'percentage']",WDT,NN,percentage,NN,,PERCENT
What labor leader was last seen in the parking lot of a Michigan restaurant ?,,,seen,VBN,see,what,labor,"['what', 'labor']",WP,NN,,,,PERSON
When did the Carolingian period begin ?,,,begin,VB,begin,when,do,"['when', 'do']",WRB,VBD,period,NN,,DATE
Who reports the weather on the `` Good Morning America '' television show ?,,,reports,VBZ,report,who,report,"['who', 'report']",WP,VBZ,Who,WP,,PERSON
How many emperors were there in the Roman Empire ?,,,were,VBD,be,how,many,"['how', 'many']",WRB,JJ,emperors,NNS,,CARDINAL
What was the name of `` The Muppets '' creator ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,PERSON
"Who sent the brief message `` I came , I saw , I conquered '' ?",,,sent,VBD,send,who,send,"['who', 'send']",WP,VBD,Who I I I,PRP,,PERSON
What U.S. Air Force general led the first bombing raid over Tokyo ?,,,led,VBD,lead,what,U.S.,"['what', 'U.S.']",WP,NNP,general,NN,,PERSON
What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,,,said,VBD,say,what,U.S.,"['what', 'U.S.']",WP,NNP,president newspapers,NNS,,PERSON
"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,PERSON
What 's the supreme policy-making bureau of the Soviet Communist Party ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,bureau,NN,,ORG
On what day were John F and Jackie Kennedy married ?,,,married,VBD,marry,what,day,"['what', 'day']",WDT,NN,F,NNP,PERSON,DATE
"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,seller,NN,,WORK_OF_ART
Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,,,are,VBP,be,who,be,"['who', 'be']",WP,VBP,Who,WP,,ORG
Who won a Pulitzer Prize for his novel The Caine Mutiny ?,,,won,VBD,win,who,win,"['who', 'win']",WP,VBD,Who,WP,,PERSON
Where is your corpus callosum ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,corpus callosum,NN,,LOC
"What Broadway musical featured the song , `` If I were a rich man ? ''",,,featured,VBD,feature,what,Broadway,"['what', 'Broadway']",WP,NNP,musical I,PRP,,WORK_OF_ART
Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
"When Superman needs to get away from it all , where does he go ?",,,go,VB,go,where,do,"['where', 'do']",WRB,VBZ,Superman he,PRP,,LOC
How old is singer Freedy Johnston ?,,,is,VBZ,be,how,old,"['how', 'old']",WRB,JJ,Johnston,NNP,PERSON,DATE
What is the name of the pop singer whose song became the theme song for a brand of catsup ?,,,is,VBZ,be,whose,song,"['whose', 'song']",WP$,NN,name song,NN,,PERSON
Who claimed to be the world 's most perfectly-developed man ?,,,claimed,VBD,claim,who,claim,"['who', 'claim']",WP,VBD,Who,WP,,PERSON
Where can I get cotton textiles importer details ?,,,get,VB,get,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
When did Spain and Korea start ambassadorial relations ?,,,start,VBP,start,when,do,"['when', 'do']",WRB,VBD,Spain,NNP,GPE,DATE
What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,,,took,VBD,take,what,kind,"['what', 'kind']",WDT,NN,kind,NN,,ORG
How many grooves are on a dime 's edge ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,grooves,NNS,,CARDINAL
What are the most albums sold by one artist or band ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,What,WP,,WORK_OF_ART
What canal does the Thatcher Ferry Bridge span ?,,,span,NN,span,what,canal,"['what', 'canal']",WDT,NN,,,,LOC
What American won the world Grand Prix driving championship in 1978 ?,,,won,VBD,win,what,American,"['what', 'American']",WP,NNP,American,NNP,NORP,PERSON
What are the chances of pregnacy if the penis does not penetrate the vagina ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,chances penis,NNP,,PERCENT
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
What is the name of Kevin Costner 's movie about Sioux Indians ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,WORK_OF_ART
Name a female figure skater .,,,Name,VB,name,,,[],,,,,,PERSON
How long would it take for a $ savings bond to mature ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it,PRP,,DATE
What is the average cost for four years of medical school ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,cost,NN,,MONEY
How many spears are there on Kenya 's flag ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
Where did George of the Jungle live ?,,,live,VB,live,where,do,"['where', 'do']",WRB,VBD,George,NNP,,LOC
What 's men 's par on a 455-yard golf hole ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What par,NN,,CARDINAL
What percentage of American men are alcoholic ?,,,are,VBP,be,what,percentage,"['what', 'percentage']",WDT,NN,percentage,NN,,PERCENT
"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?",,,cost,VB,cost,how,much,"['how', 'much']",WRB,JJ,Dialing,NN,,MONEY
"In South Korea , how many American Soldiers are there ?",,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,Soldiers,NNS,,CARDINAL
Who portrayed Carl Bernstein in All the President 's Men ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What are the numbers that fit into Fermont 's last theorem ?,,,are,VBP,be,that,fit,"['that', 'fit']",WDT,VBP,numbers that,WDT,,CARDINAL
Who was Tiny Tim 's father ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who was Bonnie Blue Butler 's father ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
"What shampoo prevents eczema , seborrhea , and psoriasis ?",,,prevents,VBZ,prevent,what,shampoo,"['what', 'shampoo']",WDT,NN,shampoo,NN,,PRODUCT
How many Americans have HIV ?,,,have,VBP,have,how,many,"['how', 'many']",WRB,JJ,Americans,NNPS,NORP,CARDINAL
Where do I find information for foreclosure properties on the Internet ?,,,find,VB,find,where,do,"['where', 'do']",WRB,VBP,I,PRP,,LOC
Who is the Antichrist ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What was the first English play written exclusively for children ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,play,NN,,WORK_OF_ART
Which Latin American country is the largest ?,,,is,VBZ,be,which,latin,"['which', 'latin']",WDT,JJ,country,NN,,GPE
What was the former residence of Scottish kings in Edinburgh ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,residence,NN,,LOC
How many teats does a female goat sport ?,,,does,VBZ,do,how,many,"['how', 'many']",WRB,JJ,teats,NNS,,CARDINAL
How tall is kilamanjaro ?,,,is,VBZ,be,how,tall,"['how', 'tall']",WRB,JJ,kilamanjaro,NNP,,QUANTITY
Who was the lawyer who represented Randy Steven Craft ?,,,was,VBD,be,who,represent,"['who', 'represent']",WP,VBD,who,WP,,PERSON
What country buys 25 percent of the world 's tea exports ?,,,buys,VBZ,buy,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What country is the origin of the band the Creeps ?,,,is,VBZ,be,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
Which of the following celebrities was not born in Philadelphia ?,,,born,VBN,bear,which,of,"['which', 'of']",WDT,IN,,,,PERSON
What is the number of American soldiers deployed to South Korea ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,number,NN,,CARDINAL
Where is the biggest bell ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,bell,NN,,LOC
What is the brand name of the chemical daminozide ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PRODUCT
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,,,paid,VBD,pay,what,magazine,"['what', 'magazine']",WDT,NN,magazine,NN,,WORK_OF_ART
What is the estimated total U.S. whitetail deer population ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,population,NN,,QUANTITY
Who wrote the Farmer 's Almanac ?,,,wrote,VBD,write,who,write,"['who', 'write']",WP,VBD,Who,WP,,PERSON
What number is at 12 o 'clock on a dartboard ?,,,is,VBZ,be,what,number,"['what', 'number']",WDT,NN,number,NN,,CARDINAL
Which team won the Super Bowl in 1968 ?,,,won,VBD,win,which,team,"['which', 'team']",WDT,NN,team,NN,,ORG
What film dramatized the Scopes monkey trial ?,,,dramatized,VBD,dramatize,what,film,"['what', 'film']",WP,NN,film,NN,,WORK_OF_ART
CNN is owned by whom ?,,,owned,VBN,own,whom,?,"['whom', '?']",WP,.,,,,PERSON
What country offered Albert Einstein its presidency in 1952 ?,,,offered,VBD,offer,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",,,saw,VBD,see,what,tv,"['what', 'tv']",WP,NN,series many,JJ,,WORK_OF_ART
Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,,,was,VBD,be,who,gain,"['who', 'gain']",WP,VBD,Who who,WP,,PERSON
What operating system do IBM-compatible machines use ?,,,do,VBP,do,what,operating,"['what', 'operating']",WDT,NN,system,NN,,PRODUCT
What French leader sold Louisiana to the United States ?,,,sold,VBD,sell,what,french,"['what', 'french']",WP,JJ,leader,NN,,PERSON
"What bay sparkles next to Miami , Florida ?",,,sparkles,VBZ,sparkle,what,bay,"['what', 'bay']",WP,NN,bay,NN,,LOC
How many miles of veins are in the circulatory system ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What famed river flows through Bagdad ?,,,flows,VBZ,flow,what,fame,"['what', 'fame']",WP,VBD,river,NN,,LOC
Who is the prime minister of Japan ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What player squats an average of 3 times during a baseball doubleheader ?,,,squats,VBZ,squat,what,player,"['what', 'player']",WDT,NN,player,NN,,PERSON
What 's the most common name in nursery rhymes ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
How many `` No '' answers was the What 's My Line ? panel allowed ?,,,was,VBD,be,how,many,"['how', 'many']",WRB,JJ,answers,NNS,,CARDINAL
What is the fine for having a dog on a beach ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,fine,NN,,MONEY
"Who wrote the book , `` Song of Solomon '' ?",,,wrote,VBD,write,who,write,"['who', 'write']",WP,VBD,Who,WP,,PERSON
"Where can one find information on religion and health , the brain and nutrition ?",,,find,VB,find,where,can,"['where', 'can']",WRB,MD,one,PRP,CARDINAL,LOC
Name the Ranger who was always after Yogi Bear .,,,Name,VB,name,who,be,"['who', 'be']",WP,VBD,who,WP,,PERSON
What TV show did John Sebastian sing the theme for ?,,,did,VBD,do,what,tv,"['what', 'tv']",WDT,NN,show Sebastian,NNP,PERSON,WORK_OF_ART
Who is the president of the Spanish government ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
Who holds the career record for the most major league home runs ?,,,holds,VBZ,hold,who,hold,"['who', 'hold']",WP,VBZ,Who,WP,,PERSON
Which of the following actors worked in New York 's Yiddish Theater ?,,,worked,VBD,work,which,of,"['which', 'of']",WDT,IN,Which,WDT,,PERSON
Who invented the stethoscope ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
How many four star generals were there and who are they ?,,,were,VBD,be,who,be,"['who', 'be']",WP,VBP,generals they,PRP,,CARDINAL
When did Nixon die ?,,,die,VB,die,when,do,"['when', 'do']",WRB,VBD,Nixon,NNP,PERSON,DATE
What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,,,hit,VBD,hit,what,comedian,"['what', 'comedian']",WP,NN,comedian,NN,,PERSON
How many members are in the California congressional delegation ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,members,NNS,,CARDINAL
What erupts every hour at Yellowstone National Park ?,,,erupts,VBZ,erupt,what,erupt,"['what', 'erupt']",WP,VBZ,What,WP,,LOC
What country contains the highest point in South America ?,,,contains,VBZ,contain,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What are Arnold Palmer 's fans called ?,,,called,VBD,call,what,be,"['what', 'be']",WP,VBP,fans,NNS,,PERSON
Who retired with 755 home runs to his credit ?,,,retired,VBD,retire,who,retire,"['who', 'retire']",WP,VBD,Who,WP,,PERSON
What constellation represents a hunter with club and shield ?,,,represents,VBZ,represent,what,constellation,"['what', 'constellation']",WP,NN,constellation,NN,,LOC
Who developed potlatch ?,,,developed,VBD,develop,who,develop,"['who', 'develop']",WP,VBD,Who,WP,,PERSON
How long did Shea and Gould practice law in Los Angeles ?,,,law,NN,law,how,long,"['how', 'long']",WRB,RB,Shea,NNP,PERSON,DATE
What 's a perfect score in a gymnastics exercise ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What,WP,,CARDINAL
"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",,,included,VBD,include,what,group,"['what', 'group']",WDT,NN,group,NN,,ORG
At what age did Rossini stop writing opera ?,,,stop,VB,stop,what,age,"['what', 'age']",WP,NN,,,,DATE
What Russian seaport has a name meaning `` Lord of the East '' ?,,,has,VBZ,have,what,russian,"['what', 'russian']",WP,JJ,seaport,NN,,LOC
Name the two actress daughters of John Mills .,,,Name,VB,name,,,[],,,,,,PERSON
How old was Gene Siskel ?,,,was,VBD,be,how,old,"['how', 'old']",WRB,JJ,Siskel,NNP,PERSON,DATE
What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,,,separates,VBZ,separate,what,Rocky,"['what', 'Rocky']",WP,NNP,,,,LOC
Who is the actress Bette Davis once said she wished she looked like ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,Davis she she,PRP,,PERSON
Who portrayed The Cowardly Lion in The Wizard of Oz ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What gate opened on East and West Berlin ?,,,opened,VBD,open,what,gate,"['what', 'gate']",WDT,NN,gate,NN,,LOC
Who was the first king of England ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
In what movie is the number nine found in the title ?,,,is,VBZ,be,what,movie,"['what', 'movie']",WDT,NN,,,,WORK_OF_ART
How many calories are there in soy sauce ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,calories,NNS,,CARDINAL
Who killed Kurt Cobain ?,,,killed,VBD,kill,who,kill,"['who', 'kill']",WP,VBD,Who,WP,,PERSON
Who created the monster in Mary Shelley 's novel Frankenstein ?,,,created,VBD,create,who,create,"['who', 'create']",WP,VBD,Who,WP,,PERSON
What 's the farthest planet from the sun ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,planet,NN,,LOC
How big is our galaxy in diameter ?,,,is,VBZ,be,how,big,"['how', 'big']",WRB,JJ,galaxy,NN,,QUANTITY
"What product `` doubles your pleasure , doubles your fun '' ?",,,doubles,VBZ,double,what,product,"['what', 'product']",WDT,NN,product,NN,,PRODUCT
When is a woman most fertile ?,,,is,VBZ,be,when,be,"['when', 'be']",WRB,VBZ,woman,NN,,DATE
What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,,,became,VBD,become,what,son,"['what', 'son']",WP,NN,father,NN,,PERSON
Who was the first man to return to space ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,,,admit,VBP,admit,what,brand,"['what', 'brand']",WDT,NN,Klein he,PRP,,PRODUCT
Who gave Abbie Hoffman his first dose of LSD ?,,,gave,VBD,give,who,give,"['who', 'give']",WP,VBD,Who,WP,,PERSON
What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,,,became,VBD,become,what,4-foot-9,"['what', '4-foot-9']",WP,:,actress,NN,,PERSON
Who shot Billy the Kid ?,,,shot,VBD,shoot,who,shoot,"['who', 'shoot']",WP,VBD,Who,WP,,PERSON
What Mormon leader was said to have had 27 wives ?,,,said,VBN,say,what,Mormon,"['what', 'Mormon']",WP,NNP,,,,PERSON
What 's the name of a hotel in Indianapolis ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,LOC
How many people in Tucson ?,,,people,NNS,people,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
Where is Melbourne ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,,,,LOC
With whom did Bush compare Saddam Hussein ?,,,compare,VB,compare,whom,do,"['whom', 'do']",WP,VBD,Bush,NNP,PERSON,PERSON
What country was Mikhail Gorbachev the leader of ?,,,was,VBD,be,what,country,"['what', 'country']",WP,NN,,,,GPE
"What is the recommended weight of a 15 year-old male that is 5 , 6 ?",,,is,VBZ,be,that,be,"['that', 'be']",WDT,VBZ,weight that,WDT,,QUANTITY
What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,,,painted,VBD,paint,what,pillar,"['what', 'pillar']",WDT,NN,pillar,NN,,PERSON
What is the largest county in size in Massachusetts ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,county,NN,,LOC
What is the name of the brilliant British economist behind its creation ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
Who played Sally Rogers on The Dick Van Dyke Show ?,,,played,VBD,play,who,play,"['who', 'play']",WP,VBD,Who,WP,,PERSON
What mythical figure carries an hourglass and a scythe ?,,,carries,VBZ,carry,what,mythical,"['what', 'mythical']",WDT,JJ,figure,NN,,PERSON
How much is a Canadian 1967 twenty dollar gold coin worth ?,,,is,VBZ,be,how,much,"['how', 'much']",WRB,JJ,worth,NN,,MONEY
What natural attractions draw the most visitors in the United States ?,,,draw,VBP,draw,what,natural,"['what', 'natural']",WDT,JJ,attractions,NNS,,GPE
What presidential administration challenged Americans to explore The New Frontier ?,,,challenged,VBD,challenge,what,presidential,"['what', 'presidential']",WDT,JJ,administration,NN,,ORG
How many years did Sleeping Beauty sleep ?,,,sleep,NN,sleep,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
How long does it take for your body to restore blood after you donate your blood ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it body you,PRP,,TIME
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,,,judged,VBN,judge,which,of,"['which', 'of']",WDT,IN,,,,PRODUCT
What river runs through Liverpool ?,,,runs,VBZ,run,what,river,"['what', 'river']",WDT,NN,river,NN,,LOC
