question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label,o_label
What engineer invented the pull-tab can ?,,,invented,VBD,invent,What,engineer,"['What', 'engineer']",WP,NOUN,engineer tab,NOUN,,HUM:identity,PERSON
What South American capital is the world 's highest ?,,,is,VBZ,be,What,capital,"['What', 'capital']",WP,NOUN,capital,NOUN,,LOC:city,LOC
What are the lyrics to the Star Spangled Banner ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,lyrics,NOUN,,DESC:description,
Name a civil war battlefield .,,,Name,VB,name,,,[],,,,,,LOC:other,LOC
When do you plant winter wheat ?,,,plant,VB,plant,When,do,"['When', 'do']",WRB,AUX,you,PRON,,NUM:date,DATE
What will a compass do in outer space ?,,,do,VB,do,What,will,"['What', 'will']",WP,AUX,compass,NOUN,,DESC:description,
How many counties are in Indiana ?,,,are,VBP,be,How,counties,"['How', 'counties']",WRB,NOUN,counties,NOUN,,NUM:count,QUANTITY
Which college did Dikembe Mutombo attend ?,,,attend,VB,attend,Which,college,"['Which', 'college']",WDT,NOUN,Mutombo,PROPN,ORG,HUM:organization,ORG
Who was the first actress to appear on a postage stamp ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,Who,PRON,,HUM:identity,PERSON
Who was the first black woman to star in the Folies Bergeres ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,,,,HUM:identity,PERSON
What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?,,,has,VBZ,have,What,fable,"['What', 'fable']",WP,NOUN,fable race,NOUN,,ENTY:creation,WORK_OF_ART
What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?,,,is,VBZ,be,What,famed,"['What', 'famed']",WP,VERB,strip,NOUN,,LOC:other,LOC
How is water treated to make it safe to drink ?,,,treated,VBN,treat,How,is,"['How', 'is']",WRB,AUX,it,PRON,,DESC:manner,
What is a hydrogen bond ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,bond,NOUN,,DESC:definition,
What is the exchange rate between England and the U.S. ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,rate,NOUN,,NUM:money,MONEY
What does a woman want ?,,,want,VB,want,What,does,"['What', 'does']",WP,AUX,woman,NOUN,,ENTY:other,
What is the protection rate of using condoms ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,rate,NOUN,,NUM:other,CARDINAL
What 's the abbreviation for limited partnership ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,abbreviation,NOUN,,ABBR:abbreviation,
Which continent has the most roses ?,,,has,VBZ,have,Which,continent,"['Which', 'continent']",WDT,NOUN,continent,NOUN,,LOC:other,LOC
What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,,,set,VBN,set,What,novel,"['What', 'novel']",WP,NOUN,,,,ENTY:creation,WORK_OF_ART
How do you write a correct critical analysis of a poem ?,,,write,VB,write,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
How do I check if my modem is v.9 compatible ?,,,check,VB,check,How,do,"['How', 'do']",WRB,AUX,I modem,NOUN,,DESC:manner,
What is your favorite color ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,color,NOUN,,ENTY:color,
"What is the longest chemical name , consisting of 35 letters ?",,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,name,NOUN,,ENTY:other,
How many corners does a spritsail have ?,,,have,VB,have,How,corners,"['How', 'corners']",WRB,NOUN,spritsail,NOUN,,NUM:count,QUANTITY
What bottled-up TV character was born in Baghdad ?,,,born,VBN,bear,What,bottled,"['What', 'bottled']",WP,VERB,,,,HUM:identity,PERSON
What is a multiplexer ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,multiplexer,NOUN,,DESC:definition,
What credit card features a centurion on its face ?,,,features,VBZ,feature,What,credit,"['What', 'credit']",WDT,NOUN,card,NOUN,,ENTY:other,
What are the four largest mountain ranges on the Asian continent ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,ranges,NOUN,,LOC:mountain,LOC
What are the Poconos ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,Poconos,PROPN,ORG,DESC:definition,
"What does caliente mean , in English ?",,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,caliente,PROPN,,DESC:definition,
What is Jane Goodall famous for ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Goodall,PROPN,PERSON,DESC:reason,
What is the mission of Nike ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,mission,NOUN,,ENTY:event,EVENT
What is thalassemia ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,thalassemia,NOUN,,DESC:definition,
How far can you see ?,,,see,VB,see,How,can,"['How', 'can']",WRB,AUX,you,PRON,,NUM:distance,QUANTITY
"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?",,,sank,VBD,sink,What,nuclear,"['What', 'nuclear']",WDT,NOUN,submarine,NOUN,,ENTY:vehicle,PRODUCT
Why can 't you taste anything when you have a cold ?,,,t,VB,t,Why,can,"['Why', 'can']",WRB,AUX,,,,DESC:reason,
Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?,,,tell,VB,tell,Where,does,"['Where', 'does']",WRB,AUX,it,PRON,,LOC:other,LOC
What country boasts the southernmost point in continental Europe ?,,,boasts,VBZ,boast,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
When did Nostradamus believe World War III would begin ?,,,believe,VB,believe,When,did,"['When', 'did']",WRB,AUX,Nostradamus III,PROPN,EVENT,NUM:date,DATE
What is so powerful about Power Bars ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What,PRON,,DESC:description,
What do the Japanese call Japan ?,,,call,VB,call,What,do,"['What', 'do']",WP,AUX,Japanese,ADJ,NORP,ENTY:term,
What country was Brian Boru an 11th-century king of ?,,,was,VBD,be,What,country,"['What', 'country']",WP,NOUN,,,,LOC:country,LOC
What happens when a body part falls asleep ?,,,happens,VBZ,happen,when,body,"['when', 'body']",WRB,NOUN,What part,NOUN,,DESC:description,
What English word has the most letters ?,,,has,VBZ,have,What,word,"['What', 'word']",WP,NOUN,word,NOUN,,ENTY:word,
What film ends with the line : `` This is Mrs. Norman Maine '' ?,,,ends,VBZ,end,What,film,"['What', 'film']",WDT,NOUN,film,NOUN,,ENTY:creation,WORK_OF_ART
Who asked the musical question : `` Have you ever been to electric lady land ? '',,,asked,VBD,ask,Who,asked,"['Who', 'asked']",WP,VERB,Who you,PRON,,HUM:identity,PERSON
Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?,,,wrote,VBD,write,Who,wrote,"['Who', 'wrote']",WP,VERB,Who God,PROPN,,HUM:identity,PERSON
What is June 's birthstone ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,birthstone,NOUN,,DESC:definition,
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?,,,take,VBP,take,Where,did,"['Where', 'did']",WRB,AUX,meeting,NOUN,,LOC:other,LOC
Why do we ask for the `` check '' and not the bill at a restaurant ?,,,ask,VB,ask,Why,do,"['Why', 'do']",WRB,AUX,we,PRON,,DESC:reason,
"Who played the part of the Godfather in the movie , ` The Godfather ' ?",,,played,VBD,play,Who,played,"['Who', 'played']",WP,VERB,Who,PRON,,HUM:identity,PERSON
When was London 's Docklands Light Railway constructed ?,,,constructed,VBD,construct,When,was,"['When', 'was']",WRB,AUX,Railway,PROPN,FAC,NUM:date,DATE
Who invented the Wonderbra ?,,,invented,VBD,invent,Who,invented,"['Who', 'invented']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is the origin of the proverb `` A stitch in time saves nine '' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,origin stitch,NOUN,,DESC:description,
What state capital comes last alphabetically ?,,,comes,VBZ,come,What,state,"['What', 'state']",WDT,NOUN,capital,NOUN,,LOC:city,LOC
Why is Thanksgiving on a Thursday ?,,,Thanksgiving,NNP,Thanksgiving,Why,is,"['Why', 'is']",WRB,AUX,,,,DESC:reason,
How do telephones work ?,,,work,VB,work,How,do,"['How', 'do']",WRB,AUX,telephones,NOUN,,DESC:manner,
What 's the main vegetable in vichyssoise ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,vegetable,NOUN,,ENTY:food,PRODUCT
How long did the Charles Manson murder trial last ?,,,last,JJ,last,How,did,"['How', 'did']",WRB,AUX,trial,NOUN,,NUM:period,TIME
How long does it take for your blood to make one complete trip through the body ?,,,take,VB,take,How,does,"['How', 'does']",WRB,AUX,it blood,NOUN,,NUM:period,TIME
Who owns the St. Louis Rams ?,,,owns,VBZ,own,Who,owns,"['Who', 'owns']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,Walker,PROPN,PERSON,LOC:other,LOC
"What beer tells us , `` Grab all the gusto you can get . '' ?",,,tells,VBZ,tell,What,beer,"['What', 'beer']",WP,NOUN,beer you,PRON,,ENTY:food,PRODUCT
What is the geographical center of the US including Alaska and Hawaii ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,center,NOUN,,LOC:other,LOC
Which side of the face do most artists tend to show more of in self-portraits ?,,,do,VBP,do,Which,side,"['Which', 'side']",WDT,NOUN,side artists,NOUN,,ENTY:other,
What is diabetes ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,diabetes,NOUN,,DESC:definition,
What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?,,,expect,VB,expect,What,phenomenon,"['What', 'phenomenon']",WDT,NOUN,you,PRON,,ENTY:event,EVENT
When do MORMONS believe Christ was born ?,,,believe,VB,believe,When,do,"['When', 'do']",WRB,AUX,MORMONS,NOUN,,NUM:date,DATE
In what year was actress Joan Collins born ?,,,was,VBD,be,what,year,"['what', 'year']",WDT,NOUN,Collins,PROPN,PERSON,NUM:date,DATE
What is a fear of punishment ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What fear,NOUN,,ENTY:disease,
What is average salary of restaurant manager in United States ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What salary,NOUN,,NUM:money,MONEY
What comic strip sometimes features a mailman named Beasley ?,,,features,VBZ,feature,What,strip,"['What', 'strip']",WP,NOUN,strip,NOUN,,ENTY:creation,WORK_OF_ART
What device provided a new way to listen to music in 1963 ?,,,provided,VBD,provide,What,device,"['What', 'device']",WDT,NOUN,device,NOUN,,ENTY:other,
"What will a kid eat the middle of , and save the chocolate on the outside for last ?",,,eat,VB,eat,What,will,"['What', 'will']",WP,AUX,kid,NOUN,,ENTY:food,PRODUCT
"On average , how long time does it take to type a screenplay ?",,,take,VB,take,how,time,"['how', 'time']",WRB,NOUN,it,PRON,,NUM:period,TIME
What does the abbreviation IOC stand for ?,,,stand,VB,stand,What,does,"['What', 'does']",WP,AUX,abbreviation,NOUN,,ABBR:explanation,
What 's a short ton ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,What ton,NOUN,QUANTITY,DESC:definition,
How long do cardinal eggs incubate ?,,,incubate,VB,incubate,How,do,"['How', 'do']",WRB,AUX,eggs,NOUN,,NUM:period,TIME
What two body parts grow all your life ?,,,grow,VBP,grow,What,body,"['What', 'body']",WP,NOUN,parts,NOUN,,ENTY:body,
What Texas surgeon performed the first artificial heart transplant ?,,,performed,VBD,perform,What,surgeon,"['What', 'surgeon']",WP,NOUN,surgeon,NOUN,,HUM:identity,PERSON
What country has the port of Haifa ?,,,has,VBZ,have,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
What is the main ingredient of yogurt ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,ingredient,NOUN,,ENTY:substance,
What is the recipe for Eggs Benedict ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,recipe,NOUN,,ENTY:food,PRODUCT
"What is the address for the main government office in Rome , Italy ?",,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,address,NOUN,,LOC:other,LOC
What 's the largest U.S. agricultural crop by weight ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,crop,NOUN,,ENTY:food,PRODUCT
What is the electronic device used to produce visual displays corresponding to electric signals ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,device,NOUN,,ENTY:other,
What is goldenseal ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,goldenseal,ADJ,,DESC:definition,
Who made the most appearances in the center square on Hollywood Squares ?,,,made,VBD,make,Who,made,"['Who', 'made']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is the Lost Colony ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Colony,PROPN,PERSON,DESC:definition,
What is the chemical composition of a Barbie ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,composition,NOUN,,ENTY:substance,
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,,,worked,VBN,work,How,members,"['How', 'members']",WRB,NOUN,many,ADJ,,NUM:count,QUANTITY
What store claims to be the world 's largest department store ?,,,claims,VBZ,claim,What,store,"['What', 'store']",WDT,NOUN,store,NOUN,,HUM:organization,ORG
What is the lens behind the iris in the eye called ?,,,called,VBN,call,What,is,"['What', 'is']",WP,AUX,lens,NOUN,,ENTY:term,
What is Tetrinet ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Tetrinet,PROPN,PERSON,DESC:definition,
What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,,,is,VBZ,be,What,league,"['What', 'league']",WP,NOUN,player,NOUN,,HUM:identity,PERSON
What is the longest English word that can be formed using just the first row of letters on a typewriter ?,,,is,VBZ,be,that,can,"['that', 'can']",WDT,AUX,word,NOUN,,ENTY:word,
What is Chiricahua the name of ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Chiricahua name,NOUN,,ENTY:term,
What 's the green variety of beryl called ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,variety,NOUN,,ENTY:term,
What was the name of Captain Bligh 's ship ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,name,NOUN,,ENTY:vehicle,PRODUCT
Which is heavier - cream or milk ?,,,is,VBZ,be,Which,is,"['Which', 'is']",WDT,AUX,Which,PRON,,ENTY:food,PRODUCT
Who said `` the only thing we have to fear is fear itself '' ?,,,said,VBD,say,Who,said,"['Who', 'said']",WP,VERB,Who thing we,PRON,,HUM:identity,PERSON
Where is Romania located ?,,,located,VBN,locate,Where,is,"['Where', 'is']",WRB,AUX,,,,LOC:other,LOC
How many films are made by the major studios in a year ?,,,made,VBN,make,How,films,"['How', 'films']",WRB,NOUN,,,,NUM:count,QUANTITY
How many small businesses are there in the U.S .,,,are,VBP,be,How,businesses,"['How', 'businesses']",WRB,NOUN,businesses,NOUN,,NUM:count,QUANTITY
What age is Benny Carter ?,,,is,VBZ,be,What,age,"['What', 'age']",WP,NOUN,,,,NUM:period,TIME
How do you clean an LCD monitor screen ?,,,clean,VB,clean,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
What city did the Mormons establish as their headquarters in 1847 ?,,,establish,VB,establish,What,city,"['What', 'city']",WDT,NOUN,Mormons,PROPN,ORG,LOC:city,LOC
What is amezaiku ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What,PRON,,DESC:definition,
What two countries are linked by the Brenner Pass ?,,,linked,VBN,link,What,countries,"['What', 'countries']",WP,NOUN,,,,LOC:country,LOC
What new games are available for Nintendo 64 ?,,,are,VBP,be,What,games,"['What', 'games']",WP,NOUN,games,NOUN,,ENTY:sport,
Mississippi has what name for a state nickname ?,,,has,VBZ,have,what,name,"['what', 'name']",WP,NOUN,Mississippi,PROPN,GPE,LOC:state,LOC
What is the predominant color of the Tab label ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,color,NOUN,,ENTY:color,
What U.S. city was named for St. Francis of Assisi ?,,,named,VBN,name,What,city,"['What', 'city']",WP,NOUN,,,,LOC:city,LOC
"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?",,,produce,VB,produce,How,megawatts,"['How', 'megawatts']",WRB,NOUN,project,NOUN,,NUM:count,QUANTITY
What is the definition of `` chancery '' file in real estate ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,definition,NOUN,,DESC:definition,
Who is the sexiest women in the world ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
What day is known as the `` national day of prayer '' ?,,,known,VBN,know,What,day,"['What', 'day']",WDT,NOUN,,,,NUM:date,DATE
Where can I get a photograph of professor Randolph Quirk ?,,,get,VB,get,Where,can,"['Where', 'can']",WRB,AUX,I,PRON,,LOC:other,LOC
Who was the supreme god of Germanic religion ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,god,PROPN,,HUM:identity,PERSON
How do you handle a hungry man ?,,,handle,VB,handle,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
Who 's played the most games for the New York Yankees ?,,,played,VBN,play,Who,'s,"['Who', ""'s""]",WP,AUX,,,,HUM:identity,PERSON
"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?",,,said,VBD,say,What,TV,"['What', 'TV']",WDT,NOUN,character One,NUM,,HUM:identity,PERSON
What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,,,is,VBZ,be,who,became,"['who', 'became']",WP,VERB,name who,PRON,,HUM:identity,PERSON
What are the conjugations of wake and woke ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,conjugations,NOUN,,ENTY:word,
What Chilean president was killed in a 1973 coup d 'etat ?,,,killed,VBN,kill,What,president,"['What', 'president']",WP,NOUN,,,,HUM:identity,PERSON
What was Einstein 's IQ ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,IQ,NOUN,,NUM:other,CARDINAL
Name the first Russian astronaut to do a spacewalk .,,,Name,VB,name,,,[],,,,,,HUM:identity,PERSON
Why do eyes sometimes look red in photographs ?,,,look,VB,look,Why,do,"['Why', 'do']",WRB,AUX,eyes,NOUN,,DESC:reason,
What are John C. Calhoun and Henry Clay known as ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,Calhoun,PROPN,PERSON,ENTY:term,
What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,names,NOUN,,HUM:identity,PERSON
What are some good exercises for kids to do ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,What exercises kids,NOUN,,ENTY:sport,
How many real fruit juices are there in a can of Hawaiian Punch ?,,,are,VBP,be,How,fruit,"['How', 'fruit']",WRB,NOUN,juices,NOUN,,NUM:count,QUANTITY
What is the abbreviation of the National Bureau of Investigation ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,abbreviation,NOUN,,ABBR:abbreviation,
What is the principal river of Ireland ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,river,NOUN,,LOC:other,LOC
What lake is the source of the White Nile ?,,,is,VBZ,be,What,lake,"['What', 'lake']",WP,NOUN,,,,LOC:other,LOC
Garry Kasparov plays what game ?,,,plays,VBZ,play,what,game,"['what', 'game']",WP,NOUN,Kasparov,PROPN,PERSON,ENTY:sport,
How much does a poodle weigh ?,,,weigh,VB,weigh,How,does,"['How', 'does']",WRB,AUX,poodle,NOUN,,NUM:weight,QUANTITY
What is Zionism ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,Zionism,PROPN,NORP,DESC:definition,
What cable network bills itself as `` the family entertainer '' ?,,,bills,NNS,bill,What,cable,"['What', 'cable']",WP,NOUN,network,NOUN,,HUM:organization,ORG
How many points are there on a Backgammon board ?,,,are,VBP,be,How,points,"['How', 'points']",WRB,NOUN,,,,NUM:count,QUANTITY
What have you not let a tennis ball do if you volley ?,,,let,VB,let,What,have,"['What', 'have']",WP,AUX,you ball you,PRON,,DESC:description,
Which comic book was not spawned directly from the pulp magazines ?,,,spawned,VBN,spawn,Which,book,"['Which', 'book']",WDT,NOUN,,,,ENTY:creation,WORK_OF_ART
"What product is for kids , and not for silly rabbits ?",,,is,VBZ,be,What,product,"['What', 'product']",WDT,NOUN,product,NOUN,,ENTY:product,PRODUCT
What else has the swastika stood for ?,,,stood,VBD,stand,What,has,"['What', 'has']",WP,AUX,swastika,NOUN,,DESC:definition,
"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?",,,get,VB,get,when,hear,"['when', 'hear']",WRB,VERB,people they something they they,PRON,,DESC:reason,
How many frames does a disk camera shoot ?,,,does,VBZ,do,How,frames,"['How', 'frames']",WRB,NOUN,frames,NOUN,,NUM:count,QUANTITY
What are the 7 Wonders of the World ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,Wonders,PROPN,,ENTY:other,
When did Theo Rousseau paint the `` Forest of Fontaine '' ?,,,paint,VB,paint,When,did,"['When', 'did']",WRB,AUX,Rousseau,PROPN,PERSON,NUM:date,DATE
How many people have been Captain America ?,,,been,VBN,be,How,people,"['How', 'people']",WRB,NOUN,people,NOUN,,NUM:count,QUANTITY
What is meant by the term `` yield to maturity '' in reference to bonds ?,,,meant,VBN,mean,What,is,"['What', 'is']",WP,AUX,,,,DESC:definition,
"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",,,became,VBD,become,What,became,"['What', 'became']",WP,VERB,What,PRON,,ENTY:food,PRODUCT
How did the war of 1812 affect Delaware ?,,,affect,VBP,affect,How,did,"['How', 'did']",WRB,AUX,war,NOUN,,DESC:manner,
Where is the human skin least sensitive ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,skin,NOUN,,ENTY:body,
"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?",,,meant,VBN,mean,What,was,"['What', 'was']",WP,AUX,,,,HUM:identity,PERSON
What is the biggest `` thing '' humans have made ?,,,made,VBN,make,What,is,"['What', 'is']",WP,AUX,humans,NOUN,,ENTY:other,
What are all the rivers in Europe ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,What,PRON,,LOC:other,LOC
Who won the Superbowl in ?,,,won,VBD,win,Who,won,"['Who', 'won']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What five cards make up a perfect Cribbage hand ?,,,make,VBP,make,What,cards,"['What', 'cards']",WP,NOUN,cards,NOUN,,ENTY:other,
In what year was Gandhi assassinated ?,,,assassinated,VBD,assassinate,what,year,"['what', 'year']",WDT,NOUN,Gandhi,PROPN,PERSON,NUM:date,DATE
What is the time it takes a typist to type a screenplay that is 100 pages long ?,,,is,VBZ,be,that,is,"['that', 'is']",WDT,AUX,time it that,PRON,,NUM:period,TIME
What is the full classification of a lady bug ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,classification,NOUN,,ENTY:animal,
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,,,was,VBD,be,What,cardinal,"['What', 'cardinal']",WP,NOUN,cardinal,NOUN,,HUM:identity,PERSON
How many pairs of wings does a tsetse fly have ?,,,have,VB,have,How,pairs,"['How', 'pairs']",WRB,NOUN,,,,NUM:count,QUANTITY
What was the name of the peace agreement imposed on Germany after World War I ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,name,NOUN,,ENTY:other,
What 's the fifth-largest country in the world ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,country,NOUN,,LOC:country,LOC
How do you box train a cat ?,,,train,VB,train,How,do,"['How', 'do']",WRB,AUX,box,VERB,,DESC:manner,
How was Teddy Roosevelt related to FDR ?,,,Roosevelt,NNP,Roosevelt,How,was,"['How', 'was']",WRB,AUX,,,,DESC:manner,
What newspaper serves Salt Lake City ?,,,serves,VBZ,serve,What,newspaper,"['What', 'newspaper']",WP,NOUN,newspaper,NOUN,,ENTY:creation,WORK_OF_ART
The film `` Jaws '' was made in what year ?,,,made,VBN,make,what,year,"['what', 'year']",WDT,NOUN,,,,NUM:date,DATE
How does lightning travel ?,,,travel,NN,travel,How,does,"['How', 'does']",WRB,AUX,,,,DESC:manner,
What spice do chefs pay the most for ?,,,pay,VB,pay,What,spice,"['What', 'spice']",WDT,NOUN,spice chefs,NOUN,,ENTY:food,PRODUCT
Who directed Citizen Kane ?,,,directed,VBD,direct,Who,directed,"['Who', 'directed']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is troilism ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,troilism,NOUN,,DESC:definition,
What was the sister ship of the Olympic ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,ship,NOUN,,ENTY:vehicle,PRODUCT
What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,,,is,VBZ,be,who,flew,"['who', 'flew']",WP,VERB,nickname who,PRON,,HUM:identity,PERSON
What is HTML ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What,PRON,,ABBR:explanation,
How do you identify prime numbers ?,,,identify,VB,identify,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
"Whose special bear 's creator was born on January 18 , 1779 ?",,,born,VBN,bear,Whose,bear,"['Whose', 'bear']",WP$,NOUN,,,,HUM:identity,PERSON
What high school does Archie attend ?,,,attend,VB,attend,What,school,"['What', 'school']",WDT,NOUN,Archie,PROPN,ORG,HUM:organization,ORG
What animal migrates the farthest ?,,,migrates,VBZ,migrate,What,animal,"['What', 'animal']",WDT,NOUN,animal,NOUN,,ENTY:animal,
What film was based on the play Everybody Comes to Rick 's ?,,,based,VBN,base,What,film,"['What', 'film']",WDT,NOUN,Everybody,PRON,ORG,ENTY:creation,WORK_OF_ART
Why do we call someone `` honey '' ?,,,call,VB,call,Why,do,"['Why', 'do']",WRB,AUX,we,PRON,,DESC:reason,
Madonna hocks which soft drink ?,,,hocks,NNS,hock,which,drink,"['which', 'drink']",WDT,NOUN,Madonna,PROPN,PERSON,ENTY:food,PRODUCT
What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,,,flogged,VBD,flog,What,television,"['What', 'television']",WP,NOUN,network,NOUN,,HUM:organization,ORG
In what country is Lund ?,,,is,VBZ,be,what,country,"['what', 'country']",WDT,NOUN,Lund,PROPN,,LOC:country,LOC
What 's the sequel to Alice 's Adventures in Wonderland ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,sequel,NOUN,,ENTY:creation,WORK_OF_ART
What is the capital of Seattle ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,capital,NOUN,,LOC:city,LOC
What Italian leader had a lifelong fear of the evil eye ?,,,had,VBD,have,What,leader,"['What', 'leader']",WP,NOUN,leader,NOUN,,HUM:identity,PERSON
What city in Florida is Sea World in ?,,,is,VBZ,be,What,city,"['What', 'city']",WDT,NOUN,city,NOUN,,LOC:city,LOC
Who said : `` What contemptible scoundrel stole the cork from my lunch ? '',,,said,VBD,say,What,scoundrel,"['What', 'scoundrel']",WP,NOUN,Who scoundrel,NOUN,,HUM:identity,PERSON
What 's a water funnel ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,What funnel,NOUN,,DESC:definition,
What is a fear of worms ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What fear,NOUN,,ENTY:disease,
What is a Chinese `` spouting '' bowl ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,bowl,NOUN,,DESC:definition,
What does an emperor do ?,,,do,VB,do,What,does,"['What', 'does']",WP,AUX,emperor,NOUN,,DESC:description,
